,Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits,Tags,Summary,Date_published
10,A mouthwatering idiot.,orphan_account,22074010,01 Jan 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,765,1,6,209,13,2422,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Severus Snape, Vampire AU, Draco's a vampire, harry's an idiot, Consensual Blood Drinking, ? - Freeform, I'm Still Bad At Tagging",\n      Draco\'s usually in control of his vampiric side but after a few days of not feeding he\'s struggling. Harry Potter makes everything worse by smelling like the best meal on the planet.\n,2020-01-01
11,A Visit to Avalon,TrishHankins,22073731,01 Jan 2020,Teen And Up Audiences,Gen,Choose Not To Use Archive Warnings,Complete Work,English,"2,547",1,2,16,2,178,"Creator Chose Not To Use Archive Warnings, Harry Potter, Dolores Umbridge, Post-Canon, Mid-20's Harry, Therapy, Trauma, Recovery, Cross-Posted on FanFiction.Net","\n      On the road to recovering from his mental trauma, Harry attempts to get some closure from an old foe.\n",2020-01-01
12,A mysterious beautiful boy,orphan_account,22073683,01 Jan 2020,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,English,139,1,1,15,0,254,"Creator Chose Not To Use Archive Warnings, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter","\n      One day,Draco Malfoy met a boy in the garden.\n",2020-01-01
13,I never stopped,malfoylestrange,22073572,01 Jan 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,738,1,6,37,4,420,"No Archive Warnings Apply, Lucius Malfoy/Narcissa Black Malfoy, Lucius Malfoy, Narcissa Black Malfoy","\n      ""When exactly did you stop loving me through all of this?""Written for a prompt by luciusmalfoyimagines on tumblr\n",2020-01-01
14,Dimensions,Flipdarkchill,21979984,01 Jan 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,"2,303",3,18,216,41,2376,"Creator Chose Not To Use Archive Warnings, Harry Potter/Tom Riddle | Voldemort, Harry Potter/Voldemort, Harry Potter, Tom Riddle | Voldemort, Tom Riddle, Ron Weasley, Hermione Granger, Lily Evans Potter, James Potter, Severus Snape, Neville Longbottom, Draco Malfoy, Lucius Malfoy, Slytherin Students, Petunia Evans Dursley, Vernon Dursley, Dudley Dursley, Alternate Universe - Canon Divergence, Alternate Universes, World Travel, Parallel Universes, Worlds, Eventual Romance, Mind Games, Possessive Voldemort (Harry Potter), Obsessive Behavior, Stalking, Work In Progress","\n      The last thing Lord Voldemort expected when he died in the Battle of Hogwarts was to be sent into a series of alternate universes, jumping from one extreme to the next. The only comfort he finds in his rapidly changing surroundings is the only thing that seems to be constant: Harry Potter. Along with the slightly unnerving possibility that Potter is jumping too.\n",2019-12-27
15,Sirius\'s New Year Mystery Kisser,Remus_la_swearwolf,22073176,01 Jan 2020,Not Rated,M/M,No Archive Warnings Apply,Complete Work,English,"1,066",1,0,172,4,1934,"No Archive Warnings Apply, Sirius Black/Remus Lupin, Remus Lupin, Sirius Black, Lily Evans, James Potter, Marlene McKinnon, wolfstar, new year's eve wolfstar, new year's kiss wolfstar, Angst, Marauders, jily, Fluff, Werewolf, Christmas, Mistletoe, 1977, 1978, New Year countdown","\n      It\'s Remus Lupin\'s last New Year\'s Eve at Hogwarts, and Sirius seems to have forgotten all about him.\n",2020-01-01
16,In Another World,Eliza_Grace,22072195,01 Jan 2020,General Audiences,No category,No Archive Warnings Apply,Complete Work,English,"1,161",1,3,12,2,59,"No Archive Warnings Apply, Alternate Universe - Canon Divergence, Kind of vague, let yourself be surprised by who it's about or take a guess, Originally Posted on FanFiction.Net","\n      Run away with me, he whispers. [In another world, she will tell him no.] \nAlternatively: One choice can change the course of history. It could be any choice. In this world, it is the choice to take a chance on love.\n",2020-01-01
17,Penumbra,Konfessor2U,22025740,01 Jan 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,"1,553",2,8,108,14,1914,"Creator Chose Not To Use Archive Warnings, Draco Malfoy/Harry Potter, Harry Potter, Hermione Granger, Draco Malfoy, Pansy Parkinson, Luna Lovegood, Ron Weasley, Harry-centric, switching POV, Deaf Character, Deaf Harry Potter, Brighton - Freeform, Brighton Pride, Gay Pride","\n      Harry leaves the Wizarding world behind him after losing his hearing in the Battle of Hogwarts. He is now living a wonderful and gay life in Brighton.Penumbra- (/p\xc9\x99\xcb\x88n\xc9\x99mbr\xc9\x99/) noun- 1. the lighter, outer region of a shadow cast by an opaque object; 2. the less dark outer part of a sunspot, surrounding the dark core\n",2019-12-30
18,quixotic,onovi,22071901,01 Jan 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,439,1,1,32,3,1072,"Creator Chose Not To Use Archive Warnings, Lucius Malfoy/Narcissa Black Malfoy, Lucius Malfoy, Narcissa Black Malfoy, Femdom, Strap-Ons, Dirty Talk, Hand Jobs",\n      Narcissa finds a new way to spend her time with her husband in the bedroom.\n,2020-01-01
19,The Smell of a Rat,aheadfullofwrackspurts,20713880,01 Jan 2020,Teen And Up Audiences,Gen,Choose Not To Use Archive Warnings,Work in Progress,English,"13,790",8,30,190,44,3618,"Creator Chose Not To Use Archive Warnings, Harry Potter, Severus Snape, Draco Malfoy, Hermione Granger, Albus Dumbledore, Sirius Black, Remus Lupin, Rubeus Hagrid, Peter Pettigrew, Poppy Pomfrey, Blaise Zabini, Theodore Nott, Pansy Parkinson, Daphne Greengrass, Astoria Greengrass, Minerva McGonagall, Ron Weasley, Neville Longbottom, Severitus | Severus Snape is Harry Potter's Parent, Violence, Homophobic Language, Mild Language, Hurt/Comfort",\n      Harry enters his third year at Hogwarts and his father is acting a little strange. How did a crazed killer escape from Azkaban and what has it got to do with him?\n,2019-09-20
20,A Convenient Date,iwasbotwp,22019518,01 Jan 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"6,712",4,52,322,39,4841,"No Archive Warnings Apply, Hermione Granger/Harry Potter, Draco Malfoy/Pansy Parkinson, Hermione Granger, Harry Potter, Draco Malfoy, Pansy Parkinson, Marietta Edgecombe, Horace Slughorn, Fake/Pretend Relationship, New Year's Eve, Fluff","\n      Following his divorce from Ginny, Harry doesn\'t want to attend the Ministry\'s annual New Year\'s Eve Ball alone. When he asks an also-single Hermione to attend, she knows he means it as just friends, but wishes it was a real date.\n",2019-12-29
21,Arbitrary,remedialpotions,22071073,02 Jan 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,278",1,11,77,17,1025,"No Archive Warnings Apply, Hermione Granger/Ron Weasley, Hermione Granger, Mrs Granger (Harry Potter), Mr Granger (Harry Potter), Angst, Half Blood Prince Missing Moment, New Year\xe2\x80\x99s Day","\n      \xe2\x80\x9cWhich was how, on the thirty-first of December, she found herself in one of Italy\xe2\x80\x99s finest ski resorts, watching news coverage of the waning minutes of 1996 with a cup of piping-hot tea in her hands and an all-encompassing ache that she wasn\xe2\x80\x99t convinced she could blame entirely on the skiing.\xe2\x80\x9dHBP missing moment.\n",2020-01-01
22,The Red Unicorn,BWC,22065238,01 Jan 2020,General Audiences,Gen,Choose Not To Use Archive Warnings,Complete Work,English,"6,447",2,0,12,2,85,"Creator Chose Not To Use Archive Warnings, Terry Boot, Draco Malfoy, Lucius Malfoy, Narcissa Black Malfoy, Lord Stephen Feverfew (OMC), Fraser (OMC), Autism Spectrum","\n      Nine-year-old Draco accidentally lets his familiar out into muggle Wiltshire. Lucius has to deal with the fall-out, which includes breaking the Statue of Secrecy and finding a previously unknown wizard. He then ends up well outside his comfort zone when he has to relate with the young wizard\'s muggle parents.\nIt\'s all Fraser\'s fault, isn\'t it?\n",2020-01-01
23,Time Traveling Veela,summertuvok,11702013,01 Jan 2020,Mature,"F/M, M/M",Choose Not To Use Archive Warnings,Work in Progress,English,"1,573",4,8,235,57,5891,"Creator Chose Not To Use Archive Warnings, Lily Evans Potter/Severus Snape, Lucius Malfoy/Harry Potter, Draco Malfoy/Charlie Weasley, Harry Potter, Severus Snape, Lucius Malfoy, Draco Malfoy, Charlie Weasley",\n      Harry finds out his father is a Veela and so is he. Harry goes back in time and falls in Love with Lucius Malfoy before Voldemort falls the first time.\n,2017-08-04
24,30 Days in the Lives of... Harry and Draco,Winterwolke,18805267,01 Jan 2020,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"20,260",31,22,118,21,4191,"Creator Chose Not To Use Archive Warnings, Draco Malfoy/Harry Potter, Harry Potter, Draco Malfoy, Veela Draco Malfoy, Auror Harry Potter, Healer Draco Malfoy, Fluff and Angst, Harry Potter Epilogue What Epilogue | EWE, Minor Hermione Granger/Ron Weasley, Minor Pansy Parkinson/Blaise Zabini, Domestic Fluff","\n      30 days in the lives of Harry and Draco, from special dates to tiny snippets.\n",2019-05-12
25,Rest In Peace (continuation),false_heteros (orphan_account),21216725,01 Jan 2020,Teen And Up Audiences,"F/M, M/M",No Archive Warnings Apply,Work in Progress,English,"4,039",5,6,108,9,2766,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Hermione Granger/Ron Weasley, Luna Lovegood/Ginny Weasley, Draco Malfoy, Harry Potter, Hermione Granger, Ron Weasley, Ginny Weasley, Albus Dumbledore, Severus Snape, Luna Lovegood, Pansy Parkinson, Blaise Zabini, Minerva McGonagall, Poppy Pomfrey, Lucius Malfoy, Narcissa Black Malfoy, Depressed Draco Malfoy, Implied/Referenced Suicide, Hogwarts Sixth Year, Draco Malfoy Needs a Hug, Angst, Romance, Angst with a Happy Ending, Abuse, Lucius Malfoy's A+ Parenting, Crying Draco Malfoy, Friendship, The Golden Trio","\n      What would have happened if Draco Malfoy decided he\xe2\x80\x99d rather die than be forced to take someone else\xe2\x80\x99s life? A cliche title, perhaps, but it does the job. Contains themes of suicide and homosexuality, thus the rating.This is a continuation of the story, the first two Arthur\xe2\x80\x99s notes are not mine but the real authors, I will link their orignal fanfiction. She only made two chapters so I will continue after chapter 3:https://www.fanfiction.net/s/5348367/1/Rest-in-Peace\xc2\xa0Sorry guys it\xe2\x80\x99s on hitias until I have idea\xe2\x80\x99s\n",2019-10-28
26,D. I. Y.,Inareskai,22069939,01 Jan 2020,Teen And Up Audiences,"F/M, Gen",Choose Not To Use Archive Warnings,Complete Work,English,"1,499",1,2,64,10,493,"Creator Chose Not To Use Archive Warnings, Harry Potter & Ginny Weasley, Harry Potter & Getting the Love and Support He Deserves, Harry Potter, Ginny Weasley, Rubeus Hagrid, Ron Weasley, Hermione Granger, George Weasley, The general Weasley clan, Implied/Referenced Child Abuse, Home Renovation, new home, Ginny being excellent, Deep Meaningful Conversations, One Shot","\n      Harry and Ginny have bought their first place together. They\'re very excited, but there\'s one small, enclosed space of a problem and Harry has to face some of his demons. One shot. Short, more of a drabble.\n",2020-01-01
27,The Second-Youngest Professor,Chickenpets,22070071,01 Jan 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"5,645",1,69,1643,231,22876,"Creator Chose Not To Use Archive Warnings, Harry Potter/Severus Snape, Harry Potter, Severus Snape, Post-War, Severus Snape Lives, Auror Trainee Harry Potter, Defense Against the Dark Arts Professor Harry Potter, Alcohol, Top Harry Potter, Blow Jobs, Hair-pulling, Bottom Severus Snape, Reconciliation, Scars, Anal Sex","\n      \xe2\x80\x9cYou\xe2\x80\x99re telling me you wouldn\xe2\x80\x99t let me?\xe2\x80\x9d Harry asked, and Severus felt just then that he would let Harry Potter do absolutely anything to him. \xe2\x80\x9cAnd you call me Potter.\xe2\x80\x9d\xe2\x80\x9cHabit,\xe2\x80\x9d he gasped back.***One-shot. Snape and Harry meet at a memorial two years after the final battle. And then they meet again, three years later. And then four years. And then Harry asks him out to the Hog\'s Head, and things get out of hand. Featuring: Hot Auror Harry. Oh no.\n",2020-01-01
28,Midnight,jlpierre,22069588,01 Jan 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"1,312",1,10,183,19,1479,"No Archive Warnings Apply, Sirius Black/Remus Lupin, Sirius Black, Remus Lupin, True Love, Boyfriends, Alternate Universe - Muggle, New Year's Eve, New Years, New Year's Kiss","\n      23:57Almost there.\xc2\xa0Sirius ran a hand through his hair, meeting James\xe2\x80\x99 eyes as he gave him a firm nod. He\xe2\x80\x99d told he was going to do it, expecting to be talked out of it; if he had actually wanted to be talked out of it, he\xe2\x80\x99d have spoken to Lily. Sirius somewhat needed permission, and he couldn\xe2\x80\x99t get it off his boyfriend, because his boyfriend didn\xe2\x80\x99t know.He had no soon-to-be father-in-law to ask, no mother of the groom. It was just Remus and him, with their own family they had made consisting of Harry, James and Lily.\xc2\xa0\n",2020-01-01
29,Astra Inclinant,eleventy7,4153050,01 Jan 2020,Teen And Up Audiences,Multi,No Archive Warnings Apply,Complete Work,English,"336,477",37,877,3400,1370,98008,"No Archive Warnings Apply, Scorpius Malfoy/James Sirius Potter, James Sirius Potter, Scorpius Malfoy, Harry Potter, Draco Malfoy, Friendship, Drama, Epic Friendship, Minor Character Death, POV Multiple, Present Tense, Next-Gen, Harry Potter Next Generation","\n      ""The stars incline us, they do not bind us."" For Harry, it\'s something he learned long ago on the battlefield. But for his son, James, it will be a painful lesson in the form of a friendship with a boy named Scorpius Malfoy.\n",2015-06-17
30,Shadows in Truths and Lies,BornWolfgirl,22069408,01 Jan 2020,Teen And Up Audiences,No category,No Archive Warnings Apply,Work in Progress,English,833,1,4,13,8,276,"No Archive Warnings Apply, Harry Potter, Tom Riddle | Voldemort, Severus Snape, Hermione Granger, Ron Weasley, Albus Dumbledore, Severitus | Severus Snape is Harry Potter's Parent, Parent Tom Riddle, Albus Dumbledore Bashing, Bad Albus Dumbledore, Tags May Change, Alternate Universe - Canon Divergence",\n      What is the truth and what is the lie? Who\'s the monster and who\'s the hero. Who can be trusted and who has betrayed them all. So many questions. So little time. Can Harry tell the difference and untangle the mess that is his life before it\'s too late. Dumbledore bashing and maybe some Weasley bashing i\'ll decide later. There will be slash and are pairings.\n,2020-01-01
31,Champagne or dancing?,Lioness_Snake,21933790,01 Jan 2020,Mature,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"11,363",3,14,61,5,2035,"Creator Chose Not To Use Archive Warnings, Hermione Granger/Scorpius Malfoy, Scorpius Malfoy, Hermione Granger, Rare Pairings, Fluff and Smut","\n      Hermione uses a dating app and stumbles on Brax Black, will he like her as Muggle Helena Richards?\n",2019-12-29
32,Desires & No Regrets,LadyDracona,22068964,01 Jan 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"7,025",1,4,88,14,2813,"No Archive Warnings Apply, Hermione Granger/Draco Malfoy, Hermione Granger, Draco Malfoy, Tattoos, Lapdance, Strippers & Strip Clubs, Wake-Up Sex, Love Confessions, One Shot","\n      Hermione is dragged to a strip club for a bachelorette party by Ginny. She runs into a certain blond and both of them are thrust into each other\'s lives again after 20 years. Who knows what happens next, but we can expect there to be no regrets.Disclaimer: This story is just for fun, and I\'m not gaining any monetary profit off of it. All rights to the characters and series goes to JK Rowling!\n",2020-01-01
33,Diaries through the ages,Tricsha,20745242,01 Jan 2020,General Audiences,Gen,Choose Not To Use Archive Warnings,Work in Progress,English,"2,296",8,2,7,0,79,"Creator Chose Not To Use Archive Warnings, Original Female Character(s), Mariko Xantha, Jacob (Hogwarts Mystery) (mentioned), Marielle Xantha, Esther Xantha, Zenaida Lovegood, Edwin Greengrass, Rosie Greengrass, diaries, Slice of Life, Spoiler tags in the notes, Book 4: Harry Potter and the Goblet of Fire, Book 3: Harry Potter and the Prisoner of Azkaban, Christmas, New Years","\n      ""A diary is a record (originally in handwritten format) with discrete entries arranged by date reporting on what has happened over the course of a day or other period"" -Wikipedia-Extracts from diaries written over the years telling stories from the wizarding world (and possibly the muggle world).\n",2019-09-23
34,Lost Item,PhibrizoAlexiel,22007059,01 Jan 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"8,216",3,23,956,171,27778,"Creator Chose Not To Use Archive Warnings, Harry Potter/Severus Snape, Harry Potter, Severus Snape, Original House-Elf Character(s), Mildly Dubious Consent, Dom/sub, Light Aphrodisiac, PWP, Porn With Plot, Slightly Sadistic Severus Snape, Dom Severus Snape, Dom/sub Undertones, Sub Harry Potter, Praise Kink, Happily Helpless Harry, Aftercare, slight breathplay, Accidental Bonding, Cock Warming, Smut, First Time, Blow Jobs, Anal Sex, Anal Fingering, light painplay, Slight Emotional Manipulation, 'Sleepberry'","\n      Severus has just finished his second year as Headmaster of Hogwarts, the first year without Voldemort. He is doing his paperwork, when suddenly a House-Elf appears in front of him, two days into the Summer Holidays.He has to sort the lost and forgotten items of the students. Normally he would just push this work back, but because there are sometimes cases of lost pets (Trevor would be a good example) he has to do the work immediately.\n",2019-12-29
35,A Conversation with Death,LadyHallen,22068157,01 Jan 2020,Teen And Up Audiences,Gen,Major Character Death,Complete Work,English,"1,211",1,14,267,57,1770,"Major Character Death, Hermione Granger & Harry Potter & Ron Weasley, Harry Potter, Death - Character, Do not repost, Don't copy to another site, Master of Death, Discussions of Morality, Feels, so much feels, prepare tissues, Genderbend, One-Shot, Female Harry Potter",\n      Dumbledore wasn\'t the only one to talk to Harry in King\'s Cross Station.\n,2020-01-01
36,Ode to the Boy I Love,keyflight790,22068112,01 Jan 2020,Mature,M/M,No Archive Warnings Apply,Complete Work,English,"1,795",1,43,226,18,1721,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Harry Potter, Draco Malfoy, Ron Weasley, A little, Drinking, in a, Bar, with a, Piano, Draco Malfoy plays Piano, Harry is Gobsmacked, and instantly into it, some - Freeform, Light Angst, and a lot of, Comfort, troye sivan - Freeform, Inspiration, Did I Mention, Glove Kink","\n      I told you something safeSomething I\'ve never said beforeAnd I, I, I can\'t keep my hands off youOr the one where Draco is a piano player and Harry can\'t get enough.\n",2020-01-01
37,Tease,ravenpuff1956,21947920,01 Jan 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"9,367",4,32,128,9,3013,"Creator Chose Not To Use Archive Warnings, Tina Goldstein/Newt Scamander, Bunty/Newt Scamander, Tina Goldstein/Achilles Tolliver, Bunty (Fantastic Beasts), Achilles Tolliver, Theseus Scamander, Jealous Newt, Jealous Tina, Scheming Tina, possessive newt, Blushing Bunty, Achilles' is a bit of an arse, Oblivious Newt, Angry Sex, I'm Going to Hell, But we all knew that",\n      Newt rather likes a massage. Tina does not approve who he gets one off.Will Tina get even? Will Newt get revenge? \n\xc2\xa0\nBean Squad Gift Exchange 2019\n,2019-12-25
